docId,date,count
ACC_45614,2020-08-08,3
ACC_45614,2020-08-09,5
ACC_45614,2020-08-10,6
ACC_45614,2020-08-11,9
ACC_45614,2020-08-12,3
ACC_45614,2020-08-13,2
ACC_45614,2020-08-14,2
ACC_45614,2020-08-15,5
ACC_45614,2020-08-16,4
ACC_45614,2020-08-17,8
ACC_45614,2020-08-18,4
ACC_45614,2020-08-19,2
ACC_45614,2020-08-20,2
ACC_45614,2020-08-21,4
ACC_45614,2020-08-22,5
ACC_45614,2020-08-24,1
ACC_45614,2020-08-25,7
ACC_45614,2020-08-26,1
ACC_45614,2020-08-27,1
ACC_45614,2020-08-28,1
ACC_45614,2020-08-29,8
ACC_45614,2020-08-31,6
ACC_45614,2020-09-01,6
ACC_45614,2020-09-02,2
ACC_45614,2020-09-03,8
ACC_45614,2020-09-05,2
ACC_45614,2020-09-06,6
ACC_45614,2020-09-07,8
ACC_45614,2020-09-08,3
ACC_45614,2020-09-09,4
ACC_45614,2020-09-10,5
ACC_45614,2020-09-11,10
ACC_45614,2020-09-12,5
ACC_45614,2020-09-13,3
ACC_45614,2020-09-14,5
ACC_45614,2020-09-15,1
ACC_45614,2020-09-16,3
ACC_45614,2020-09-17,1
ACC_45614,2020-09-18,5
ACC_45614,2020-09-19,5
ACC_45614,2020-09-20,6
ACC_45614,2020-09-22,2
ACC_45614,2020-09-23,11
ACC_45614,2020-09-24,5
ACC_45614,2020-09-25,2
ACC_45614,2020-09-26,1
ACC_45614,2020-09-27,6
ACC_45614,2020-09-28,1
ACC_45614,2020-09-29,4
ACC_45614,2020-09-30,4
ACC_45614,2020-10-01,1
ACC_45614,2020-10-02,1
ACC_45614,2020-10-03,1
ACC_45614,2020-10-04,2
ACC_45614,2020-10-05,3
ACC_45614,2020-10-06,5
ACC_45614,2020-10-07,2
ACC_45614,2020-10-08,3
ACC_45614,2020-10-09,1
ACC_45614,2020-10-10,3
ACC_45614,2020-10-11,4
ACC_45614,2020-10-12,1
ACC_45614,2020-10-13,2
ACC_45614,2020-10-14,3
ACC_45614,2020-10-15,2
ACC_45614,2020-10-16,5
ACC_45614,2020-10-17,1
ACC_45614,2020-10-18,2
ACC_45614,2020-10-19,2
ACC_45614,2020-10-20,2
ACC_45614,2020-10-21,1
ACC_45614,2020-10-22,6
ACC_45614,2020-10-23,3
ACC_45614,2020-10-24,2
ACC_45614,2020-10-25,8
ACC_45614,2020-10-26,2
ACC_45614,2020-10-27,4
ACC_45614,2020-10-28,4
ACC_45614,2020-10-29,2
ACC_45614,2020-10-30,4
ACC_45614,2020-10-31,2
ACC_45614,2020-11-01,1
ACC_45614,2020-11-02,4
ACC_45614,2020-11-03,7
ACC_45614,2020-11-04,4
ACC_45614,2020-11-05,2
ACC_45614,2020-11-06,3
ACC_45614,2020-11-07,4
ACC_45614,2020-11-08,4
ACC_45614,2020-11-09,7
ACC_45614,2020-11-10,4
ACC_45614,2020-11-11,1
ACC_45614,2020-11-12,2
ACC_45614,2020-11-13,3
ACC_45614,2020-11-14,5
ACC_45614,2020-11-15,3
ACC_45614,2020-11-16,1
ACC_45614,2020-11-17,3
ACC_45614,2020-11-18,2
ACC_45614,2020-11-19,3
ACC_45614,2020-11-20,2
